chamber,state,party,incumbent,termstart,age,bioguide
house,NY,D,Yes,1963,72.5,B001024
house,CA,D,Yes,1963,72.0,M000727
house,NC,D,Yes,1963,71.6,B000621
house,MA,D,Yes,1963,71.0,M000364
house,IN,D,Yes,1963,70.9,M000039
house,VA,D,Yes,1963,70.9,G000091
house,IA,R,Yes,1963,70.1,J000100
house,PA,R,Yes,1963,69.9,G000102
house,CA,R,Yes,1963,69.7,Y000060
house,NY,R,Yes,1963,69.7,K000170
house,OH,R,Yes,1963,69.5,B000909
house,TX,D,Yes,1963,69.4,P000103
house,PA,D,Yes,1963,69.0,H000717
house,AR,D,Yes,1963,68.9,T000373
house,PA,D,Yes,1963,68.6,W000108
house,NY,R,Yes,1963,68.5,S000764
house,TN,D,Yes,1963,68.4,M001114
house,IA,R,Yes,1963,67.8,H000678
house,WV,D,Yes,1963,67.6,K000040
house,IL,R,Yes,1963,67.3,A000216
house,IL,D,Yes,1963,66.9,K000273
house,CO,D,Yes,1963,66.8,A000225
house,NY,R,Yes,1963,66.5,O000121
house,TX,D,Yes,1963,66.4,T000198
house,WY,R,Yes,1963,66.4,H000278
house,PA,D,Yes,1963,66.4,B000178
house,GA,D,Yes,1963,66.4,F000283
house,PA,R,Yes,1963,66.3,G000290
house,VA,D,Yes,1963,66.3,T000395
house,IN,D,Yes,1963,66.2,D000260
house,CA,D,No,1963,66.0,B001104
house,AL,D,Yes,1963,65.5,G000381
house,NC,D,Yes,1963,65.5,C000736
house,CO,R,Yes,1963,65.4,C000346
house,PA,R,Yes,1963,65.4,M000770
house,TN,D,Yes,1963,65.1,D000094
house,CA,D,Yes,1963,65.0,K000196
house,PA,D,Yes,1963,64.9,R000187
house,SC,D,Yes,1963,64.7,M000568
house,TX,D,Yes,1963,64.7,T000156
house,MD,D,Yes,1963,64.7,F000384
house,PA,R,Yes,1963,64.6,D000004
house,MA,D,Yes,1963,64.6,P000303
house,PA,R,Yes,1963,64.5,K000341
house,PA,D,Yes,1963,64.4,N000113
house,GA,D,Yes,1963,64.4,P000349
house,OH,R,No,1963,64.3,R000206
house,WA,R,Yes,1963,64.2,H000786
house,FL,D,Yes,1963,64.0,H000041
house,MI,R,Yes,1963,64.0,K000298
house,CA,R,Yes,1963,63.8,U000034
house,OH,R,Yes,1963,63.7,S000117
house,OK,R,Yes,1963,63.7,B000323
house,IA,R,Yes,1963,63.5,G000495
house,IL,R,Yes,1963,63.5,H000684
house,IL,D,Yes,1963,63.4,M001104
house,NY,R,Yes,1963,63.4,R000250
house,NY,R,Yes,1963,63.4,B000292
house,NY,R,Yes,1963,63.3,W000323
